timestamp,schema_name,table_name,oracle_rows,oracle_cols,postgres_rows,postgres_cols,status,details
2025-07-06 13:22:47,GST_REGISTRATION,GST_RET_R1_B2CLA_INV_ITEM_DTLS,1993,9,1993,9,SUCCESS,Row & column counts match.
2025-07-06 17:22:54,GST_REGISTRATION,GST_RET_R1_B2B,323101520,5,323101520,5,SUCCESS,Row & column counts match.
2025-07-08 16:23:19,GST_REGISTRATION,GST_RET_R1_B2BA_INV,4614150,20,4614150,20,SUCCESS,Row & column counts match.
2025-07-08 17:59:48,GST_REGISTRATION,GST_RET_R1_B2CS_DTLS,42224657,16,42224657,16,SUCCESS,Row & column counts match.
2025-07-08 18:17:06,GST_REGISTRATION,GST_RET_R1_CDNR,17084207,5,17084207,5,SUCCESS,Row & column counts match.
2025-07-09 12:05:37,GST_REGISTRATION,GST_RET_R1_CDNR_NOTES,84498084,26,84498084,26,SUCCESS,Row & column counts match.
2025-07-10 17:20:07,GST_REGISTRATION,GST_RET_R1_CDNR_NT_ITEM_DTLS,89274179,14,89274179,14,SUCCESS,Row & column counts match.
2025-07-10 17:21:04,GST_REGISTRATION,GST_RET_R1_CDNRA,57662,5,57662,5,SUCCESS,Row & column counts match.
2025-07-10 17:23:11,GST_REGISTRATION,GST_RET_R1_CDNRA_NOTES,266805,25,266805,25,SUCCESS,Row & column counts match.
2025-07-10 17:25:17,GST_REGISTRATION,GST_RET_R1_CDNRA_NT_ITEM_DTLS,277984,16,277984,16,SUCCESS,Row & column counts match.
2025-07-10 17:28:34,GST_REGISTRATION,GST_RET_R1_CDNUR,619432,20,619432,20,SUCCESS,Row & column counts match.
2025-07-10 17:30:56,GST_REGISTRATION,GST_RET_R1_CDNUR_ITEM_DTLS,633214,12,633214,12,SUCCESS,Row & column counts match.
2025-07-10 17:31:01,GST_REGISTRATION,GST_RET_R1_CDNURA,1695,19,1695,19,SUCCESS,Row & column counts match.
2025-07-10 17:31:06,GST_REGISTRATION,GST_RET_R1_CDNURA_ITEM_DTLS,1706,14,1706,14,SUCCESS,Row & column counts match.
2025-07-10 18:12:51,GST_REGISTRATION,GST_RET_R1_DOC,38044417,5,38044417,5,SUCCESS,Row & column counts match.
2025-07-10 19:17:22,GST_REGISTRATION,GST_RET_R1_DOC_INV_DTLS,50650696,10,50650696,10,SUCCESS,Row & column counts match.
2025-07-10 19:19:11,GST_REGISTRATION,GST_RET_R1_EXP,695123,4,695123,4,SUCCESS,Row & column counts match.
2025-07-10 19:43:53,GST_REGISTRATION,GST_RET_R1_EXP_INV_DTLS,9537128,16,9537128,16,SUCCESS,Row & column counts match.
2025-07-10 19:56:01,GST_REGISTRATION,GST_RET_R1_EXP_INV_ITEM_DTLS,9684377,8,9684377,8,SUCCESS,Row & column counts match.
2025-07-10 19:56:32,GST_REGISTRATION,GST_RET_R1_EXPA,31865,4,31865,4,SUCCESS,Row & column counts match.
2025-07-10 19:58:49,GST_REGISTRATION,GST_RET_R1_EXPA_INV_DTLS,382926,16,382926,16,SUCCESS,Row & column counts match.
2025-07-10 20:00:38,GST_REGISTRATION,GST_RET_R1_EXPA_INV_ITEM_DTLS,394041,8,394041,8,SUCCESS,Row & column counts match.
2025-07-10 20:32:41,GST_REGISTRATION,GST_RET_R1_HSN,38023670,5,38023670,5,SUCCESS,Row & column counts match.
2025-07-10 20:33:22,GST_REGISTRATION,GST_RET_R1_HSN_SUMMARY_DET,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-10 20:59:55,GST_REGISTRATION,GST_RET_R1_NIL,33899997,5,33899997,5,SUCCESS,Row & column counts match.
2025-07-11 11:03:01,GST_REGISTRATION,GST_RET_R1_NIL_DATA,16327558,7,16327558,7,SUCCESS,Row & column counts match.
2025-07-11 11:03:47,GST_REGISTRATION,GST_RET_R1_TXP,133217,8,133217,8,SUCCESS,Row & column counts match.
2025-07-11 11:04:50,GST_REGISTRATION,GST_RET_R1_TXP_ITEM_DTLS,152713,12,152713,12,SUCCESS,Row & column counts match.
2025-07-11 11:04:55,GST_REGISTRATION,GST_RET_R1_TXPA,2535,9,2535,9,SUCCESS,Row & column counts match.
2025-07-11 11:05:00,GST_REGISTRATION,GST_RET_R1_TXPA_ITEM_DTLS,2906,13,2906,13,SUCCESS,Row & column counts match.
2025-07-11 11:08:20,GST_REGISTRATION,GST_RET_R1_HSN_SUMMARY_DET,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-11 12:01:31,GST_REGISTRATION,GST_RET_R1_HSN_SUMMARY_DET,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-14 11:19:00,GST_REGISTRATION,GST_RET_R1_HSN_SUMMARY_DET,-1,-1,-1,-1,FAILED,Error during table replication process.
2025-07-14 11:31:14,GST_REGISTRATION,GST_RET_R1_HSN_SUMMARY_DET,-1,-1,-1,-1,FAILED,Error during table replication process.
